"Date","Price","Open","High","Low","Vol.","Change %"
"07/14/2014","1.140","1.160","1.160","1.140","6.55M","0.88%"
"07/13/2014","1.130","1.080","1.160","1.080","113.58K","-3.42%"
"07/10/2014","1.170","1.170","1.170","1.170","15.00K","2.63%"
"07/09/2014","1.140","1.130","1.170","1.130","157.95K","0.00%"
"07/08/2014","1.140","1.170","1.170","1.140","135.00K","0.00%"
"07/07/2014","1.140","1.160","1.160","1.130","190.34K","-1.72%"
"07/06/2014","1.160","1.090","1.160","1.090","522.78K","0.87%"
"07/03/2014","1.150","1.150","1.150","1.110","602.50K","2.68%"
"07/02/2014","1.120","1.100","1.130","1.080","1.07M","1.82%"
"07/01/2014","1.100","1.100","1.100","1.080","573.18K","0.00%"
"06/30/2014","1.100","1.100","1.160","1.090","544.72K","-4.35%"
"06/29/2014","1.150","1.150","1.150","1.150","30.00K","-0.86%"
"06/26/2014","1.160","1.110","1.160","1.100","815.00K","0.87%"
"06/25/2014","1.150","1.100","1.150","1.080","1.48M","4.55%"
"06/24/2014","1.100","1.150","1.170","1.100","3.86M","-5.98%"
"06/23/2014","1.170","1.160","1.180","1.130","1.84M","0.00%"
"06/22/2014","1.170","1.150","1.200","1.150","709.71K","-0.85%"
"06/19/2014","1.180","1.130","1.180","1.130","802.87K","3.51%"
"06/18/2014","1.140","1.140","1.160","1.100","4.04M","-0.87%"
"06/17/2014","1.150","1.130","1.160","1.130","1.67M","-0.86%"
"06/16/2014","1.160","1.190","1.190","1.150","1.92M","-2.52%"
"06/15/2014","1.190","1.160","1.220","1.160","347.21K","0.85%"
"06/12/2014","1.180","1.200","1.200","1.150","98.96K","-1.67%"
"06/11/2014","1.200","1.200","1.200","1.170","2.15M","-0.83%"
"06/10/2014","1.210","1.220","1.220","1.210","140.00K","-1.63%"
"06/09/2014","1.230","1.210","1.230","1.210","41.46K","-1.60%"
"06/08/2014","1.250","1.260","1.260","1.250","782.91K","-1.57%"
"06/05/2014","1.270","1.270","1.270","1.250","1.05M","0.79%"
"06/04/2014","1.260","1.270","1.270","1.260","239.62K","-1.56%"
"06/03/2014","1.280","1.260","1.280","1.260","530.00K","0.79%"
"06/02/2014","1.270","1.260","1.280","1.260","4.83M","-0.78%"
"06/01/2014","1.280","1.260","1.280","1.260","770.15K","2.40%"
"05/29/2014","1.250","1.220","1.250","1.210","607.34K","2.46%"
"05/28/2014","1.220","1.220","1.230","1.220","119.34K","-2.40%"
"05/27/2014","1.250","1.250","1.260","1.240","486.37K","0.00%"
"05/26/2014","1.250","1.260","1.260","1.240","807.19K","-1.57%"
"05/22/2014","1.270","1.270","1.280","1.250","1.75M","-0.78%"
"05/21/2014","1.280","1.270","1.280","1.250","953.86K","0.79%"
"05/20/2014","1.270","1.270","1.280","1.250","2.90M","0.00%"
"05/19/2014","1.270","1.280","1.280","1.230","1.52M","-0.78%"
"05/18/2014","1.280","1.280","1.280","1.220","1.33M","0.00%"
"05/15/2014","1.280","1.290","1.290","1.200","1.96M","0.79%"
"05/14/2014","1.270","1.300","1.300","1.270","1.77M","-0.78%"
"05/13/2014","1.280","1.280","1.280","1.260","153.62K","-0.78%"
"05/12/2014","1.290","1.210","1.290","1.200","1.00M","3.20%"
"05/11/2014","1.250","1.270","1.300","1.250","1.07M","-1.57%"
"05/08/2014","1.270","1.250","1.270","1.230","1.35M","5.83%"
"05/07/2014","1.200","1.170","1.250","1.170","1.32M","-0.83%"
"05/06/2014","1.210","1.170","1.210","1.170","891.30K","2.54%"
"05/05/2014","1.180","1.190","1.190","1.180","898.47K","-2.48%"
"05/04/2014","1.210","1.190","1.210","1.120","1.49M","-2.42%"
"05/01/2014","1.240","1.210","1.240","1.210","562.80K","2.48%"
"04/30/2014","1.210","1.210","1.220","1.210","374.39K","-0.82%"
"04/29/2014","1.220","1.220","1.240","1.210","120.75K","0.00%"
"04/28/2014","1.220","1.210","1.250","1.210","226.16K","-1.61%"
"04/27/2014","1.240","1.180","1.250","1.180","5.26M","1.64%"
"04/24/2014","1.220","1.230","1.230","1.200","1.14M","-4.09%"
"04/23/2014","1.272","1.283","1.303","1.262","360.57K","-3.12%"
"04/22/2014","1.313","1.283","1.313","1.283","238.33K","2.34%"
"04/21/2014","1.283","1.262","1.324","1.262","1.31M","1.66%"
"04/20/2014","1.262","1.252","1.293","1.252","225.07K","-1.64%"
"04/17/2014","1.283","1.283","1.303","1.252","972.81K","-0.77%"
"04/16/2014","1.293","1.283","1.303","1.283","663.37K","2.46%"
"04/15/2014","1.262","1.262","1.313","1.262","1.25M","-1.64%"
"04/14/2014","1.283","1.272","1.313","1.272","181.53K","-1.53%"
"04/13/2014","1.303","1.293","1.313","1.242","447.81K","0.77%"
"04/10/2014","1.293","1.334","1.334","1.293","643.83K","-2.34%"
"04/09/2014","1.324","1.313","1.324","1.313","1.51M","-0.75%"
"04/08/2014","1.334","1.313","1.334","1.313","1.74M","1.60%"
"04/07/2014","1.313","1.334","1.365","1.313","5.74M","-1.57%"
"04/06/2014","1.334","1.324","1.365","1.324","6.35M","-2.27%"
"04/03/2014","1.365","1.313","1.365","1.303","3.24M","3.10%"
"04/02/2014","1.324","1.313","1.344","1.283","3.43M","-0.75%"
"04/01/2014","1.334","1.283","1.334","1.272","3.27M","3.98%"
"03/31/2014","1.283","1.242","1.334","1.242","5.90M","1.66%"
"03/30/2014","1.262","1.283","1.283","1.231","1.17M","-0.79%"
"03/27/2014","1.272","1.252","1.272","1.231","2.08M","2.42%"
